Team 1,Team 2,Map,Winner,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
Virtus.pro,mousesports,train,Virtus.pro,1.03,1.01,1.06,1.04,54.51,46.6,51.28,44.19,77.4,70.6,30.5,24.2
dignitas,FaZe,inferno,FaZe,1.02,0,1.05,0.99,51.95,59.14,57.14,62.5,74.6,77.4,28.7,36.9
mousesports,Virtus.pro,cache,mousesports,1.01,1.03,1.04,1.06,55.22,52.94,54.12,52.05,76.8,76.4,32.1,27.7
FaZe,dignitas,mirage,dignitas,0,1.02,0.99,1.05,52.43,55.47,56.25,56.59,74.5,77.4,25.0,30.2
EnVyUs,NiP,train,NiP,1.04,1.09,1.07,1.16,51.77,55.01,52.33,50,74.8,78.4,27.9,28.5
NiP,EnVyUs,cache,NiP,1.09,1.04,1.16,1.07,53.65,55.14,51.7,52.98,78.0,77.3,27.4,31.0
Natus Vincere,G2,overpass,G2,1.03,0,1.07,1.01,54.15,53.15,56.33,48.15,75.8,77.7,29.2,27.7
Astralis,FaZe,inferno,Astralis,0,0,1.11,0.99,53.31,59.14,40,62.5,74.6,77.4,30.0,36.9
FaZe,Astralis,dust2,Astralis,0,0,0.99,1.11,43.9,56.2,57.14,70,72.8,81.8,20.3,30.5
EnVyUs,mousesports,cache,mousesports,1.04,1.01,1.07,1.04,55.14,55.22,52.98,54.12,77.3,76.8,31.0,32.1
mousesports,EnVyUs,inferno,mousesports,1.01,1.04,1.04,1.07,48.86,54.28,58.87,56.17,70.2,76.5,25.4,30.2
Tempo Storm,Virtus.pro,mirage,Virtus.pro,0,1.03,1.12,1.06,47.36,56.25,41.18,55.33,71.1,78.0,20.9,31.5
dignitas,Astralis,cache,dignitas,1.02,0,1.05,1.11,51.18,47.14,49.3,45.83,76.1,67.8,25.8,29.3
mousesports,Luminosity,cache,mousesports,1.01,0,1.04,1.14,55.22,53.64,54.12,57.35,76.8,77.0,32.1,27.8
EnVyUs,FaZe,cache,EnVyUs,1.04,0,1.07,0.99,55.14,46.72,52.98,75,77.3,71.0,31.0,22.6
G2,GODSENT,train,GODSENT,0,0,1.01,1.03,48.8,54.87,47.14,62.5,70.7,78.6,28.2,26.9
