Team 1,Team 2,Map,Winner,Team 1 rank,Team 2 rank,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
Virtus.pro,mousesports,train,Virtus.pro,7,9,1.046,1.074,1.06,1.04,54.51,46.6,51.28,44.19,77.4,70.6,30.5,24.2
dignitas,FaZe,inferno,FaZe,8,18,1.024,1.046,1.05,0.99,51.95,59.14,57.14,62.5,74.6,77.4,28.7,36.9
mousesports,Virtus.pro,cache,mousesports,9,7,1.074,1.046,1.04,1.06,55.22,52.79,54.12,52.44,76.8,76.3,32.1,27.6
FaZe,dignitas,mirage,dignitas,18,8,1.046,1.024,0.99,1.05,52.43,55.47,56.25,56.59,74.5,77.4,25.0,30.2
EnVyUs,NiP,train,NiP,6,5,1.072,1.114,1.07,1.16,51.77,55.01,52.33,50,74.8,78.4,27.9,28.5
NiP,EnVyUs,cache,NiP,5,6,1.114,1.072,1.16,1.07,53.65,55.14,51.7,52.98,78.0,77.3,27.4,31.0
fnatic,FaZe,inferno,FaZe,3,18,1.084,1.046,1.12,0.99,56.7,59.14,51.78,62.5,79.3,77.4,32.3,36.9
FaZe,fnatic,train,FaZe,18,3,1.046,1.084,0.99,1.12,44.77,54.99,35.71,49.17,62.7,76.8,23.0,32.3
Natus Vincere,G2,overpass,G2,1,13,1.044,1.056,1.07,1.01,54.15,53.15,56.33,48.15,75.8,77.7,29.2,27.7
Astralis,FaZe,inferno,Astralis,4,18,1.06,1.046,1.11,0.99,55.84,59.14,45.45,62.5,76.5,77.4,31.2,36.9
FaZe,Astralis,dust2,Astralis,18,4,1.046,1.06,0.99,1.11,43.9,56.2,57.14,70,72.8,81.8,20.3,30.5
Natus Vincere,fnatic,cobblestone,Natus Vincere,1,3,1.044,1.084,1.07,1.12,52.21,58.49,52.11,57.02,73.5,78.9,29.5,36.4
EnVyUs,mousesports,cache,mousesports,6,9,1.072,1.074,1.07,1.04,55.14,55.22,52.98,54.12,77.3,76.8,31.0,32.1
mousesports,EnVyUs,inferno,mousesports,9,6,1.074,1.072,1.04,1.07,48.86,54.28,58.87,56.17,70.2,76.5,25.4,30.2
Tempo Storm,Virtus.pro,mirage,Virtus.pro,14,7,1.03,1.046,1.12,1.06,47.36,56.25,41.18,55.33,71.1,78.0,20.9,31.5
dignitas,Astralis,cache,dignitas,8,4,1.024,1.06,1.05,1.11,51.18,48.6,49.3,42.31,76.1,69.5,25.8,30.0
mousesports,Luminosity,cache,mousesports,9,2,1.074,1.106,1.04,1.14,55.22,53.64,54.12,57.35,76.8,77.0,32.1,27.8
EnVyUs,FaZe,cache,EnVyUs,6,18,1.072,1.046,1.07,0.99,55.14,46.72,52.98,75,77.3,71.0,31.0,22.6
G2,GODSENT,train,GODSENT,13,12,1.056,1.03,1.01,1.03,48.8,54.87,47.14,62.5,70.7,78.6,28.2,26.9
TyLoo,Liquid,cobblestone,TyLoo,15,10,1.152,1.064,1.04,1.08,61.22,53.23,72.22,50,77.7,73.4,36.0,29.6
Tempo Storm,EnVyUs,cobblestone,Tempo Storm,14,6,1.03,1.072,1.12,1.07,57.2,55.41,65.79,61.61,77.8,76.1,33.7,33.3
FaZe,Virtus.pro,train,Virtus.pro,18,7,1.046,1.046,0.99,1.06,44.77,54.51,35.71,51.28,62.7,77.4,23.0,30.5
dignitas,NiP,overpass,dignitas,8,5,1.024,1.114,1.05,1.16,52.87,52.36,54.03,45,76.5,73.8,29.8,28.8
CLG,G2,dust2,CLG,11,13,1.04,1.056,1.05,1.01,51.98,51.65,55.77,46.74,73.2,74.1,29.1,25.8
