Team, Map, Win %, Pistol Rounds Win %, Round win % after getting first kill, Round win % after receiving first death
Natus Vincere,dust2,53.37,50.81,76.1,27.0
Natus Vincere,mirage,55.8,55.84,78.7,30.0
Natus Vincere,inferno,51.39,56.25,74.8,28.0
Natus Vincere,cache,40.46,43.48,67.4,19.6
Natus Vincere,train,53.85,63.24,73.9,31.3
Natus Vincere,cobblestone,52.21,52.11,73.5,29.5
Natus Vincere,overpass,54.15,56.33,75.8,29.2
Luminosity,dust2,54.33,43.48,78.0,28.1
Luminosity,mirage,57.91,55.95,79.4,33.3
Luminosity,inferno,57.5,57.35,78.7,30.8
Luminosity,cache,53.64,57.35,77.0,27.8
Luminosity,train,56.99,60.34,80.3,30.6
Luminosity,cobblestone,56.27,48.72,79.9,29.4
Luminosity,overpass,54.77,55.71,76.6,30.7
fnatic,dust2,53.14,51.44,75.2,29.6
fnatic,mirage,56.38,49.6,78.7,30.2
fnatic,inferno,56.7,51.78,79.3,32.3
fnatic,cache,56.46,55.19,77.3,32.7
fnatic,train,54.99,49.17,76.8,32.3
fnatic,cobblestone,58.49,57.02,78.9,36.4
fnatic,overpass,56.88,58.89,77.1,33.8
Astralis,dust2,56.2,70,81.8,30.5
Astralis,mirage,61.04,43.75,82.4,33.7
Astralis,inferno,55.84,45.45,76.5,31.2
Astralis,cache,48.6,42.31,69.5,30.0
Astralis,train,53.13,40.91,71.2,32.5
Astralis,cobblestone,0,0,0,0
Astralis,overpass,58.29,63.33,76.7,35.7
NiP,dust2,54.93,53.79,78.7,28.4
NiP,mirage,51.24,52.05,74.8,27.8
NiP,inferno,52.96,52.65,75.6,27.9
NiP,cache,53.65,51.7,78.0,27.4
NiP,train,55.01,50,78.4,28.5
NiP,cobblestone,51.71,50,72.1,28.6
NiP,overpass,52.36,45,73.8,28.8
EnVyUs,dust2,54.32,54.62,77.6,30.1
EnVyUs,mirage,53.31,53.06,72.3,33.8
EnVyUs,inferno,54.28,56.17,76.5,30.2
EnVyUs,cache,55.14,52.98,77.3,31.0
EnVyUs,train,51.77,52.33,74.8,27.9
EnVyUs,cobblestone,55.41,61.61,76.1,33.3
EnVyUs,overpass,46.9,58.7,68.3,28.5
Virtus.pro,dust2,49.14,56.52,72.5,26.2
Virtus.pro,mirage,56.25,55.33,78.0,31.5
Virtus.pro,inferno,52.03,52.19,76.1,27.3
Virtus.pro,cache,52.79,52.44,76.3,27.6
Virtus.pro,train,54.51,51.28,77.4,30.5
Virtus.pro,cobblestone,51.82,50.81,73.8,29.8
Virtus.pro,overpass,50.98,44.16,72.8,28.1
dignitas,dust2,53.98,63.64,78.4,29.3
dignitas,mirage,55.47,56.59,77.4,30.2
dignitas,inferno,51.95,57.14,74.6,28.7
dignitas,cache,51.18,49.3,76.1,25.8
dignitas,train,49.14,50,74.0,27.1
dignitas,cobblestone,52.12,57.35,76.4,27.2
dignitas,overpass,52.87,54.03,76.5,29.8
mousesports,dust2,51.93,53.44,75.0,28.2
mousesports,mirage,52.81,54.17,76.2,29.5
mousesports,inferno,48.86,58.87,70.2,25.4
mousesports,cache,55.22,54.12,76.8,32.1
mousesports,train,46.6,44.19,70.6,24.2
mousesports,cobblestone,50.81,55.1,71.8,29.0
mousesports,overpass,50.17,54.39,72.5,25.6
Liquid,dust2,53.59,59.09,74.6,30.7
Liquid,mirage,52.24,54.76,75.4,28.0
Liquid,inferno,52.87,33.33,78.8,29.3
Liquid,cache,55.59,52.03,74.8,34.0
Liquid,train,51.39,59.26,73.0,27.3
Liquid,cobblestone,53.23,50,73.4,29.6
Liquid,overpass,55.43,53.41,76.2,30.6
CLG,dust2,51.98,55.77,73.2,29.1
CLG,mirage,54.55,55.08,76.4,29.3
CLG,inferno,47.57,47.83,73.8,19.1
CLG,cache,49.28,56.48,72.2,26.5
CLG,train,53.67,57.69,75.2,31.3
CLG,cobblestone,52.59,53.7,73.3,28.0
CLG,overpass,52.49,46.05,77.3,26.4
GODSENT,dust2,0,0,0,0
GODSENT,mirage,47.14,20,65.7,26.8
GODSENT,inferno,65.38,100,82.2,42.4
GODSENT,cache,45.95,33.33,71.4,23.0
GODSENT,train,54.87,62.5,78.6,26.9
GODSENT,cobblestone,37.25,25,51.8,20.8
GODSENT,overpass,49.21,100,75.8,26.4
G2,dust2,51.65,46.74,74.1,25.8
G2,mirage,51.59,55,77.1,26.9
G2,inferno,51.34,62.9,74.1,27.3
G2,cache,51.22,50.74,74.7,27.1
G2,train,48.8,47.14,70.7,28.2
G2,cobblestone,44,38.89,67.2,22.1
G2,overpass,53.15,48.15,77.7,27.7
Tempo Storm,dust2,53.68,53.33,69.4,38.0
Tempo Storm,mirage,47.36,41.18,71.1,20.9
Tempo Storm,inferno,55.16,64.71,77.3,28.0
Tempo Storm,cache,50.69,55.26,73.0,27.3
Tempo Storm,train,38.83,16.67,62.8,17.4
Tempo Storm,cobblestone,57.2,65.79,77.8,33.7
Tempo Storm,overpass,42.06,60,66.6,25.3
TyLoo,dust2,58.03,43.75,78.8,33.7
TyLoo,mirage,65.63,58.7,84.2,39.9
TyLoo,inferno,57.91,57.14,82.3,30.1
TyLoo,cache,60.67,52.08,82.4,33.8
TyLoo,train,50.91,50,77.5,21.1
TyLoo,cobblestone,61.22,72.22,77.7,36.0
TyLoo,overpass,65.26,77.78,79.1,47.3
Cloud9,dust2,54.66,50,75.5,30.3
Cloud9,mirage,49.3,52.38,75.2,23.5
Cloud9,inferno,47.28,36.46,70.8,24.4
Cloud9,cache,53.48,58.78,76.4,28.8
Cloud9,train,58.07,62.9,80.1,32.4
Cloud9,cobblestone,55.92,55.26,78.0,30.4
